competition_key,date,home_team_key,away_team_key,match_round,full_time_home_team_goals,full_time_away_team_goals,full_time_result
america.l.2013,2013/01/22,tigre,deportivoanzoategui,Matchday P.1 - 1St Leg,2,1,H
america.l.2013,2013/01/23,ligadequito,gremio,Matchday P.1 - 1St Leg,1,0,H
america.l.2013,2013/01/24,deportestolima,trujillo,Matchday P.1 - 1St Leg,1,0,H
america.l.2013,2013/01/24,defensorsporting,olimpia,Matchday P.1 - 1St Leg,0,0,D
america.l.2013,2013/01/23,saopaulo,bolivar,Matchday P.1 - 1St Leg,5,0,H
america.l.2013,2013/01/22,leon,iquique,Matchday P.1 - 1St Leg,1,1,D
america.l.2013,2013/01/29,deportivoanzoategui,tigre,Matchday P.2 - 2Nd Leg,0,3,A
america.l.2013,2013/01/30,gremio,ligadequito,Matchday P.2 - 2Nd Leg,1,0,H
america.l.2013,2013/01/31,trujillo,deportestolima,Matchday P.2 - 2Nd Leg,1,1,D
america.l.2013,2013/01/31,olimpia,defensorsporting,Matchday P.2 - 2Nd Leg,2,0,H
america.l.2013,2013/01/30,bolivar,saopaulo,Matchday P.2 - 2Nd Leg,4,3,H
america.l.2013,2013/01/29,iquique,leon,Matchday P.2 - 2Nd Leg,1,1,D
america.l.2013,2013/02/12,nacional,barcelonaguayaquil,Matchday 1,2,2,D
america.l.2013,2013/02/13,bocajuniors,toluca,Matchday 1,1,2,A
america.l.2013,2013/02/14,palmeiras,sportingcristal,Matchday 1,2,1,H
america.l.2013,2013/02/13,atleticomg,saopaulo,Matchday 1,2,1,H
america.l.2013,2013/02/14,thestrongest,arsenalsarandi,Matchday 1,2,1,H
america.l.2013,2013/02/12,emelec,velez,Matchday 1,1,0,H
america.l.2013,2013/02/12,iquique,penarol,Matchday 1,1,2,A
america.l.2013,2013/02/13,realgarcilaso,santafe,Matchday 1,1,1,D
america.l.2013,2013/02/14,deportestolima,porteno,Matchday 1,2,1,H
america.l.2013,2013/02/12,udechile,deportivolara,Matchday 1,2,0,H
america.l.2013,2013/02/14,newells,olimpia,Matchday 1,3,1,H
america.l.2013,2013/02/13,caracas,fluminense,Matchday 1,0,1,A
america.l.2013,2013/02/14,gremio,huachipato,Matchday 1,1,2,A
america.l.2013,2013/02/19,toluca,nacional,Matchday 2,2,3,A
