team_key,team_description,team_organization,country,association_description,CONMEBOL_description
bocajuniors,Boca,CLUB,Argentina,Asociación del Fútbol Argentino,CONMEBOL
velez,VéLez,CLUB,Argentina,Asociación del Fútbol Argentino,CONMEBOL
tigre,Tigre,CLUB,Argentina,Asociación del Fútbol Argentino,CONMEBOL
arsenalsarandi,Arsenal,CLUB,Argentina,Asociación del Fútbol Argentino,CONMEBOL
newells,Newell'S,CLUB,Argentina,Asociación del Fútbol Argentino,CONMEBOL
bolivar,BolíVar,CLUB,Bolivia,Federación Boliviana de Fútbol,CONMEBOL
thestrongest,The Strongest,CLUB,Bolivia,Federación Boliviana de Fútbol,CONMEBOL
sanjose,San José,CLUB,Bolivia,Federación Boliviana de Fútbol,CONMEBOL
udechile,Universidad De Chile,CLUB,Chile,Federación de Fútbol de Chile,CONMEBOL
huachipato,Huachipato,CLUB,Chile,Federación de Fútbol de Chile,CONMEBOL
iquique,Iquique,CLUB,Chile,Federación de Fútbol de Chile,CONMEBOL
millonarios,Millonarios Bogotá,CLUB,Colombia,Federación Colombiana de Fútbol,CONMEBOL
santafe,Santa Fe,CLUB,Colombia,Federación Colombiana de Fútbol,CONMEBOL
deportestolima,Deportes Tolima,CLUB,Colombia,Federación Colombiana de Fútbol,CONMEBOL
ligadequito,Ldu Quito,CLUB,Ecuador,Federación Ecuatoriana de Fútbol,CONMEBOL
emelec,Cs Emelec,CLUB,Ecuador,Federación Ecuatoriana de Fútbol,CONMEBOL
barcelonaguayaquil,Barcelona,CLUB,Ecuador,Federación Ecuatoriana de Fútbol,CONMEBOL
olimpia,Olimpia,CLUB,Paraguay,Asociación Paraguaya de Fútbol,CONMEBOL
libertad,Club Libertad AsuncióN,CLUB,Paraguay,Asociación Paraguaya de Fútbol,CONMEBOL
porteno,Cerro PorteñO,CLUB,Paraguay,Asociación Paraguaya de Fútbol,CONMEBOL
sportingcristal,Sporting Cristal,CLUB,Perú,Federación Peruana de Fútbol,CONMEBOL
realgarcilaso,Real Garcilaso,CLUB,Perú,Federación Peruana de Fútbol,CONMEBOL
trujillo,Universidad CéSar Vallejo,CLUB,Perú,Federación Peruana de Fútbol,CONMEBOL
nacional,Nacional,CLUB,Uruguay,Asociación Uruguaya de Fútbol,CONMEBOL
defensorsporting,Defensor Sporting,CLUB,Uruguay,Asociación Uruguaya de Fútbol,CONMEBOL
penarol,PeñArol,CLUB,Uruguay,Asociación Uruguaya de Fútbol,CONMEBOL
caracas,Caracas,CLUB,Venezuela,Federación Venezolana de Fútbol,CONMEBOL
deportivolara,Deportivo Lara,CLUB,Venezuela,Federación Venezolana de Fútbol,CONMEBOL
deportivoanzoategui,Deportivo AnzoáTegui,CLUB,Venezuela,Federación Venezolana de Fútbol,CONMEBOL
leon,LeóN,CLUB,México,Federación Mexicana de Fútbol Asociación,CONCACAF
tijuana,Tijuana,CLUB,México,Federación Mexicana de Fútbol Asociación,CONCACAF
toluca,Toluca,CLUB,México,Federación Mexicana de Fútbol Asociación,CONCACAF
corinthians,Corinthians,CLUB,Brazil,Confederação Brasileira de Futebol,CONMEBOL
saopaulo,SãO Paulo,CLUB,Brazil,Confederação Brasileira de Futebol,CONMEBOL
fluminense,Fluminense,CLUB,Brazil,Confederação Brasileira de Futebol,CONMEBOL
gremio,GrêMio,CLUB,Brazil,Confederação Brasileira de Futebol,CONMEBOL
atleticomg,AtléTico Mineiro,CLUB,Brazil,Confederação Brasileira de Futebol,CONMEBOL
palmeiras,Palmeiras,CLUB,Brazil,Confederação Brasileira de Futebol,CONMEBOL
