team_key,team_description,team_organization,country,association_description,confederation_description
anderlecht,Anderlecht,CLUB,BELGIUM,Union Royale Belge des Sociétés de Football-Association,UEFA
basel,Fc Basel 1893,CLUB,SWITZERLAND,Schweizerischer Fussballverband,UEFA
plzen,Plzeň,CLUB,CZECH REPUBLIC,Fotbalová Asociace Ceské republiky,UEFA
paris,Paris St. Germain,CLUB,FRANCE,Fédération Française de Football,UEFA
marseille,Marseille,CLUB,FRANCE,Fédération Française de Football,UEFA
lyon,Lyon,CLUB,FRANCE,Fédération Française de Football,UEFA
ajax,Ajax,CLUB,NETHERLANDS,Koninklijke Nederlandse Voetbalbond,UEFA
psv,Psv,CLUB,NETHERLANDS,Koninklijke Nederlandse Voetbalbond,UEFA
porto,Porto,CLUB,PORTUGAL,Federação Portuguesa de Futebol,UEFA
benfica,Benfica,CLUB,PORTUGAL,Federação Portuguesa de Futebol,UEFA
ferreira,Fc PaçOs De Ferreira,CLUB,PORTUGAL,Federação Portuguesa de Futebol,UEFA
steaua,Steaua,CLUB,ROMANIA,Romanian Football Federation,UEFA
zenit,Zenit,CLUB,RUSSIA,Football Union of Russia,UEFA
moskva,Cska Moskva,CLUB,RUSSIA,Football Union of Russia,UEFA
galatasaray,Galatasaray,CLUB,TURKEY,Türkiye Futbol Federasyonu,UEFA
fenerbahce,FenerbahçE,CLUB,TURKEY,Türkiye Futbol Federasyonu,UEFA
donezk,Shakhtar Donetsk,CLUB,UKRAINE,Football Federation of Ukraine,UEFA
legiawarszawa,Legia,CLUB,POLAND,Polish Football Association,UEFA
maribor,Maribor,CLUB,SLOVENIA,Football Association of Slovenia,UEFA
razgrad,Ludogorets,CLUB,BULGARIA,Bulgarian Football Union,UEFA
karagandy,Shakhter,CLUB,KAZAKHSTAN,Football Federation of Kazakhstan,UEFA
kobenhavn,Fc KøBenhavn,CLUB,DENMARK,Dansk Boldspil-Union,UEFA
zagreb,Dinamo Zagreb,CLUB,CROATIA,Croatian Football Federation,UEFA
olympiacos,Olympiakos PiräUs,CLUB,GREECE,Hellenic Football Federation,UEFA
paok,Paok Fc,CLUB,GREECE,Hellenic Football Federation,UEFA
celtic,Celtic,CLUB,SCOTLAND,The Scottish Football Association,UEFA
austria,Fk Austria Wien,CLUB,AUSTRIA,Österreichischer Fussball-Bund,UEFA
bayern,Fc Bayern MüNchen,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
dortmund,Borussia Dortmund,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
leverkusen,Bayer 04 Leverkusen,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
schalke,Schalke 04,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
chelsea,Chelsea,CLUB,ENGLAND,THE FA,UEFA
arsenal,Arsenal,CLUB,ENGLAND,THE FA,UEFA
manunited,Manchester United,CLUB,ENGLAND,THE FA,UEFA
mancity,Manchester City,CLUB,ENGLAND,THE FA,UEFA
barcelona,Barcelona,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
madrid,R. Madrid,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
atletico,AtléTico,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
realsociedad,R. Sociedad,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
milan,Milan,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
juventus,Juventus,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
napoli,Napoli,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
