date, date_description,day,day_week,month,calendar_month,quarter,semester,year
2013/01/01,January 01 2013,01,Tuesday,01,January,1,1,2013
2013/01/02,January 02 2013,02,Wednesday,01,January,1,1,2013
2013/01/03,January 03 2013,03,Thursday,01,January,1,1,2013
2013/01/04,January 04 2013,04,Friday,01,January,1,1,2013
2013/01/05,January 05 2013,05,Saturday,01,January,1,1,2013
2013/01/06,January 06 2013,06,Sunday,01,January,1,1,2013
2013/01/07,January 07 2013,07,Monday,01,January,1,1,2013
2013/01/08,January 08 2013,08,Tuesday,01,January,1,1,2013
2013/01/09,January 09 2013,09,Wednesday,01,January,1,1,2013
2013/01/10,January 10 2013,10,Thursday,01,January,1,1,2013
2013/01/11,January 11 2013,11,Friday,01,January,1,1,2013
2013/01/12,January 12 2013,12,Saturday,01,January,1,1,2013
2013/01/13,January 13 2013,13,Sunday,01,January,1,1,2013
2013/01/14,January 14 2013,14,Monday,01,January,1,1,2013
2013/01/15,January 15 2013,15,Tuesday,01,January,1,1,2013
2013/01/16,January 16 2013,16,Wednesday,01,January,1,1,2013
2013/01/17,January 17 2013,17,Thursday,01,January,1,1,2013
2013/01/18,January 18 2013,18,Friday,01,January,1,1,2013
2013/01/19,January 19 2013,19,Saturday,01,January,1,1,2013
2013/01/20,January 20 2013,20,Sunday,01,January,1,1,2013
2013/01/21,January 21 2013,21,Monday,01,January,1,1,2013
2013/01/22,January 22 2013,22,Tuesday,01,January,1,1,2013
2013/01/23,January 23 2013,23,Wednesday,01,January,1,1,2013
2013/01/24,January 24 2013,24,Thursday,01,January,1,1,2013
2013/01/25,January 25 2013,25,Friday,01,January,1,1,2013
2013/01/26,January 26 2013,26,Saturday,01,January,1,1,2013
2013/01/27,January 27 2013,27,Sunday,01,January,1,1,2013
2013/01/28,January 28 2013,28,Monday,01,January,1,1,2013
2013/01/29,January 29 2013,29,Tuesday,01,January,1,1,2013
2013/01/30,January 30 2013,30,Wednesday,01,January,1,1,2013
2013/01/31,January 31 2013,31,Thursday,01,January,1,1,2013
2013/02/01,February 01 2013,01,Friday,02,February,1,1,2013
2013/02/02,February 02 2013,02,Saturday,02,February,1,1,2013
2013/02/03,February 03 2013,03,Sunday,02,February,1,1,2013
2013/02/04,February 04 2013,04,Monday,02,February,1,1,2013
2013/02/05,February 05 2013,05,Tuesday,02,February,1,1,2013
2013/02/06,February 06 2013,06,Wednesday,02,February,1,1,2013
2013/02/07,February 07 2013,07,Thursday,02,February,1,1,2013
2013/02/08,February 08 2013,08,Friday,02,February,1,1,2013
2013/02/09,February 09 2013,09,Saturday,02,February,1,1,2013
2013/02/10,February 10 2013,10,Sunday,02,February,1,1,2013
2013/02/11,February 11 2013,11,Monday,02,February,1,1,2013
2013/02/12,February 12 2013,12,Tuesday,02,February,1,1,2013
2013/02/13,February 13 2013,13,Wednesday,02,February,1,1,2013
2013/02/14,February 14 2013,14,Thursday,02,February,1,1,2013
2013/02/15,February 15 2013,15,Friday,02,February,1,1,2013
2013/02/16,February 16 2013,16,Saturday,02,February,1,1,2013
2013/02/17,February 17 2013,17,Sunday,02,February,1,1,2013
2013/02/18,February 18 2013,18,Monday,02,February,1,1,2013
2013/02/19,February 19 2013,19,Tuesday,02,February,1,1,2013
2013/02/20,February 20 2013,20,Wednesday,02,February,1,1,2013
2013/02/21,February 21 2013,21,Thursday,02,February,1,1,2013
2013/02/22,February 22 2013,22,Friday,02,February,1,1,2013
2013/02/23,February 23 2013,23,Saturday,02,February,1,1,2013
2013/02/24,February 24 2013,24,Sunday,02,February,1,1,2013
2013/02/25,February 25 2013,25,Monday,02,February,1,1,2013
2013/02/26,February 26 2013,26,Tuesday,02,February,1,1,2013
2013/02/27,February 27 2013,27,Wednesday,02,February,1,1,2013
2013/02/28,February 28 2013,28,Thursday,02,February,1,1,2013
2013/03/01,March 01 2013,01,Friday,03,March,1,1,2013
2013/03/02,March 02 2013,02,Saturday,03,March,1,1,2013
2013/03/03,March 03 2013,03,Sunday,03,March,1,1,2013
2013/03/04,March 04 2013,04,Monday,03,March,1,1,2013
2013/03/05,March 05 2013,05,Tuesday,03,March,1,1,2013
2013/03/06,March 06 2013,06,Wednesday,03,March,1,1,2013
2013/03/07,March 07 2013,07,Thursday,03,March,1,1,2013
2013/03/08,March 08 2013,08,Friday,03,March,1,1,2013
2013/03/09,March 09 2013,09,Saturday,03,March,1,1,2013
2013/03/10,March 10 2013,10,Sunday,03,March,1,1,2013
2013/03/11,March 11 2013,11,Monday,03,March,1,1,2013
2013/03/12,March 12 2013,12,Tuesday,03,March,1,1,2013
2013/03/13,March 13 2013,13,Wednesday,03,March,1,1,2013
2013/03/14,March 14 2013,14,Thursday,03,March,1,1,2013
2013/03/15,March 15 2013,15,Friday,03,March,1,1,2013
2013/03/16,March 16 2013,16,Saturday,03,March,1,1,2013
2013/03/17,March 17 2013,17,Sunday,03,March,1,1,2013
2013/03/18,March 18 2013,18,Monday,03,March,1,1,2013
2013/03/19,March 19 2013,19,Tuesday,03,March,1,1,2013
2013/03/20,March 20 2013,20,Wednesday,03,March,1,1,2013
2013/03/21,March 21 2013,21,Thursday,03,March,1,1,2013
2013/03/22,March 22 2013,22,Friday,03,March,1,1,2013
2013/03/23,March 23 2013,23,Saturday,03,March,1,1,2013
2013/03/24,March 24 2013,24,Sunday,03,March,1,1,2013
2013/03/25,March 25 2013,25,Monday,03,March,1,1,2013
2013/03/26,March 26 2013,26,Tuesday,03,March,1,1,2013
2013/03/27,March 27 2013,27,Wednesday,03,March,1,1,2013
2013/03/28,March 28 2013,28,Thursday,03,March,1,1,2013
2013/03/29,March 29 2013,29,Friday,03,March,1,1,2013
2013/03/30,March 30 2013,30,Saturday,03,March,1,1,2013
2013/03/31,March 31 2013,31,Sunday,03,March,1,1,2013
2013/04/01,April 01 2013,01,Monday,04,April,2,1,2013
2013/04/02,April 02 2013,02,Tuesday,04,April,2,1,2013
2013/04/03,April 03 2013,03,Wednesday,04,April,2,1,2013
2013/04/04,April 04 2013,04,Thursday,04,April,2,1,2013
2013/04/05,April 05 2013,05,Friday,04,April,2,1,2013
2013/04/06,April 06 2013,06,Saturday,04,April,2,1,2013
2013/04/07,April 07 2013,07,Sunday,04,April,2,1,2013
2013/04/08,April 08 2013,08,Monday,04,April,2,1,2013
2013/04/09,April 09 2013,09,Tuesday,04,April,2,1,2013
2013/04/10,April 10 2013,10,Wednesday,04,April,2,1,2013
2013/04/11,April 11 2013,11,Thursday,04,April,2,1,2013
2013/04/12,April 12 2013,12,Friday,04,April,2,1,2013
2013/04/13,April 13 2013,13,Saturday,04,April,2,1,2013
2013/04/14,April 14 2013,14,Sunday,04,April,2,1,2013
2013/04/15,April 15 2013,15,Monday,04,April,2,1,2013
2013/04/16,April 16 2013,16,Tuesday,04,April,2,1,2013
2013/04/17,April 17 2013,17,Wednesday,04,April,2,1,2013
2013/04/18,April 18 2013,18,Thursday,04,April,2,1,2013
2013/04/19,April 19 2013,19,Friday,04,April,2,1,2013
2013/04/20,April 20 2013,20,Saturday,04,April,2,1,2013
2013/04/21,April 21 2013,21,Sunday,04,April,2,1,2013
2013/04/22,April 22 2013,22,Monday,04,April,2,1,2013
2013/04/23,April 23 2013,23,Tuesday,04,April,2,1,2013
2013/04/24,April 24 2013,24,Wednesday,04,April,2,1,2013
2013/04/25,April 25 2013,25,Thursday,04,April,2,1,2013
2013/04/26,April 26 2013,26,Friday,04,April,2,1,2013
2013/04/27,April 27 2013,27,Saturday,04,April,2,1,2013
2013/04/28,April 28 2013,28,Sunday,04,April,2,1,2013
2013/04/29,April 29 2013,29,Monday,04,April,2,1,2013
2013/04/30,April 30 2013,30,Tuesday,04,April,2,1,2013
2013/05/01,May 01 2013,01,Wednesday,05,May,2,1,2013
2013/05/02,May 02 2013,02,Thursday,05,May,2,1,2013
