team_key,team_description,team_organization,country,association_description,confederation_description
bayern,Fc Bayern MüNchen,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
dortmund,Borussia Dortmund,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
leverkusen,Bayer 04 Leverkusen,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
schalke,Schalke 04,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
freiburg,Sc Freiburg,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
frankfurt,Eintracht Frankfurt,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
hsv,Hamburger Sv,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
mgladbach,Borussia M'Gladbach,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
hannover,Hannover 96,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
nuernberg,1. Fc NüRnberg,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
wolfsburg,Vfl Wolfsburg,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
mainz,1. Fsv Mainz 05,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
bremen,Werder Bremen,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
hoffenheim,1899 Hoffenheim,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
stuttgart,Stuttgart,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
augsburg,Fc Augsburg,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
braunschweig,Eintr. Braunschweig,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
herthabsc,Hertha Bsc,CLUB,GERMANY,DEUTSCHER FUSSBALL-BUND,UEFA
