team_key,team_description,team_organization,country,association_description,confederation_description
swansea,Swansea City,CLUB,ENGLAND,THE FA,UEFA
cardiff,Cardiff City,CLUB,ENGLAND,THE FA,UEFA
chelsea,Chelsea,CLUB,ENGLAND,THE FA,UEFA
arsenal,Arsenal,CLUB,ENGLAND,THE FA,UEFA
tottenham,Tottenham Hotspur,CLUB,ENGLAND,THE FA,UEFA
westham,West Ham United,CLUB,ENGLAND,THE FA,UEFA
fulham,Fulham,CLUB,ENGLAND,THE FA,UEFA
manunited,Manchester United,CLUB,ENGLAND,THE FA,UEFA
mancity,Manchester City,CLUB,ENGLAND,THE FA,UEFA
everton,Everton,CLUB,ENGLAND,THE FA,UEFA
liverpool,Liverpool,CLUB,ENGLAND,THE FA,UEFA
westbrom,West Bromwich Albion,CLUB,ENGLAND,THE FA,UEFA
newcastle,Newcastle United,CLUB,ENGLAND,THE FA,UEFA
stoke,Stoke City,CLUB,ENGLAND,THE FA,UEFA
sunderland,Sunderland,CLUB,ENGLAND,THE FA,UEFA
astonvilla,Aston Villa,CLUB,ENGLAND,THE FA,UEFA
southampton,Southampton,CLUB,ENGLAND,THE FA,UEFA
norwich,Norwich City,CLUB,ENGLAND,THE FA,UEFA
hull,Hull City,CLUB,ENGLAND,THE FA,UEFA
crystalpalace,Crystal Palace,CLUB,ENGLAND,THE FA,UEFA
