competition_key,date,home_team_key,away_team_key,match_round,full_time_home_team_goals,full_time_away_team_goals,full_time_result
es.2013/14,2013/08/17,realsociedad,getafe,Jornada 1,2,0,H
es.2013/14,2013/08/17,valladolid,athletic,Jornada 1,1,2,A
es.2013/14,2013/08/17,valencia,malaga,Jornada 1,1,0,H
es.2013/14,2013/08/18,barcelona,levante,Jornada 1,7,0,H
es.2013/14,2013/08/18,madrid,betis,Jornada 1,2,1,H
es.2013/14,2013/08/18,osasuna,granada,Jornada 1,1,2,A
es.2013/14,2013/08/18,sevilla,atletico,Jornada 1,1,3,A
es.2013/14,2013/08/19,rayo,elche,Jornada 1,3,0,H
es.2013/14,2013/08/19,celta,espanyol,Jornada 1,2,2,D
es.2013/14,2013/08/19,almeria,villareal,Jornada 1,2,3,A
es.2013/14,2013/08/23,getafe,almeria,Jornada 2,2,2,D
es.2013/14,2013/08/23,athletic,osasuna,Jornada 2,2,0,H
es.2013/14,2013/08/24,elche,realsociedad,Jornada 2,1,1,D
es.2013/14,2013/08/24,espanyol,valencia,Jornada 2,3,1,H
es.2013/14,2013/08/24,villareal,valladolid,Jornada 2,2,1,H
es.2013/14,2013/08/25,atletico,rayo,Jornada 2,5,0,H
es.2013/14,2013/08/25,levante,sevilla,Jornada 2,0,0,D
es.2013/14,2013/08/25,malaga,barcelona,Jornada 2,0,1,A
es.2013/14,2013/08/25,betis,celta,Jornada 2,1,2,A
es.2013/14,2013/08/26,granada,madrid,Jornada 2,0,1,A
es.2013/14,2013/08/30,almeria,elche,Jornada 3,2,2,D
es.2013/14,2013/08/30,rayo,levante,Jornada 3,1,2,A
es.2013/14,2013/08/31,celta,granada,Jornada 3,1,1,D
es.2013/14,2013/08/31,valladolid,getafe,Jornada 3,1,0,H
es.2013/14,2013/08/31,osasuna,villareal,Jornada 3,0,3,A
es.2013/14,2013/09/01,madrid,athletic,Jornada 3,3,1,H
es.2013/14,2013/09/01,espanyol,betis,Jornada 3,0,0,D
es.2013/14,2013/09/01,realsociedad,atletico,Jornada 3,1,2,A
es.2013/14,2013/09/01,sevilla,malaga,Jornada 3,2,2,D
es.2013/14,2013/09/01,valencia,barcelona,Jornada 3,2,3,A
es.2013/14,2013/09/14,atletico,almeria,Jornada 4,4,2,H
es.2013/14,2013/09/14,levante,realsociedad,Jornada 4,0,0,D
es.2013/14,2013/09/14,barcelona,sevilla,Jornada 4,3,2,H
es.2013/14,2013/09/14,villareal,madrid,Jornada 4,2,2,D
es.2013/14,2013/09/15,betis,valencia,Jornada 4,3,1,H
es.2013/14,2013/09/15,granada,espanyol,Jornada 4,0,1,A
es.2013/14,2013/09/15,getafe,osasuna,Jornada 4,2,1,H
es.2013/14,2013/09/15,malaga,rayo,Jornada 4,5,0,H
es.2013/14,2013/09/16,elche,valladolid,Jornada 4,0,0,D
es.2013/14,2013/09/16,athletic,celta,Jornada 4,3,2,H
es.2013/14,2013/09/20,osasuna,elche,Jornada 5,2,1,H
es.2013/14,2013/09/21,realsociedad,malaga,Jornada 5,0,0,D
es.2013/14,2013/09/21,almeria,levante,Jornada 5,2,2,D
es.2013/14,2013/09/21,rayo,barcelona,Jornada 5,0,4,A
es.2013/14,2013/09/21,valladolid,atletico,Jornada 5,0,2,A
es.2013/14,2013/09/22,betis,granada,Jornada 5,0,0,D
es.2013/14,2013/09/22,celta,villareal,Jornada 5,0,0,D
es.2013/14,2013/09/22,madrid,getafe,Jornada 5,4,1,H
es.2013/14,2013/09/22,valencia,sevilla,Jornada 5,3,1,H
es.2013/14,2013/09/23,espanyol,athletic,Jornada 5,3,2,H
es.2013/14,2013/09/24,levante,valladolid,Jornada 6,1,1,D
es.2013/14,2013/09/24,barcelona,realsociedad,Jornada 6,4,1,H
es.2013/14,2013/09/24,atletico,osasuna,Jornada 6,2,1,H
es.2013/14,2013/09/24,malaga,almeria,Jornada 6,2,0,H
es.2013/14,2013/09/25,granada,valencia,Jornada 6,0,1,A
es.2013/14,2013/09/25,elche,madrid,Jornada 6,1,2,A
es.2013/14,2013/09/25,sevilla,rayo,Jornada 6,4,1,H
es.2013/14,2013/09/26,athletic,betis,Jornada 6,2,1,H
es.2013/14,2013/09/26,villareal,espanyol,Jornada 6,2,1,H
es.2013/14,2013/09/26,getafe,celta,Jornada 6,2,0,H
es.2013/14,2013/09/27,valladolid,malaga,Jornada 7,2,2,D
es.2013/14,2013/09/28,valencia,rayo,Jornada 7,1,0,H
es.2013/14,2013/09/28,almeria,barcelona,Jornada 7,0,2,A
es.2013/14,2013/09/28,realsociedad,sevilla,Jornada 7,1,1,D
es.2013/14,2013/09/28,madrid,atletico,Jornada 7,0,1,A
es.2013/14,2013/09/29,osasuna,levante,Jornada 7,0,1,A
es.2013/14,2013/09/29,betis,villareal,Jornada 7,1,0,H
es.2013/14,2013/09/29,espanyol,getafe,Jornada 7,0,2,A
es.2013/14,2013/09/29,celta,elche,Jornada 7,0,1,A
es.2013/14,2013/09/30,granada,athletic,Jornada 7,2,0,H
es.2013/14,2013/10/04,villareal,granada,Jornada 8,3,0,H
es.2013/14,2013/10/04,malaga,osasuna,Jornada 8,0,1,A
es.2013/14,2013/10/05,elche,espanyol,Jornada 8,2,1,H
es.2013/14,2013/10/05,rayo,realsociedad,Jornada 8,1,0,H
es.2013/14,2013/10/05,levante,madrid,Jornada 8,2,3,A
es.2013/14,2013/10/05,barcelona,valladolid,Jornada 8,4,1,H
es.2013/14,2013/10/06,athletic,valencia,Jornada 8,1,1,D
es.2013/14,2013/10/06,getafe,betis,Jornada 8,3,1,H
es.2013/14,2013/10/06,atletico,celta,Jornada 8,2,1,H
es.2013/14,2013/10/06,sevilla,almeria,Jornada 8,2,1,H
