competition_key,date,home_team_key,away_team_key,match_round,full_time_home_team_goals,full_time_away_team_goals,full_time_result
it.2013/14,2013/08/24,hellasverona,milan,Spieltag 1,2,1,H
it.2013/14,2013/08/24,sampdoria,juventus,Spieltag 1,0,1,A
it.2013/14,2013/08/25,inter,genoa,Spieltag 1,2,0,H
it.2013/14,2013/08/25,cagliari,atalanta,Spieltag 1,2,1,H
it.2013/14,2013/08/25,lazio,udinese,Spieltag 1,2,1,H
it.2013/14,2013/08/25,livorno,roma,Spieltag 1,0,2,A
it.2013/14,2013/08/25,napoli,bologna,Spieltag 1,3,0,H
it.2013/14,2013/08/25,parma,chievoverona,Spieltag 1,0,0,D
it.2013/14,2013/08/25,torino,sassuolo,Spieltag 1,2,0,H
it.2013/14,2013/08/26,fiorentina,catania,Spieltag 1,2,1,H
it.2013/14,2013/08/31,chievoverona,napoli,Spieltag 2,2,4,A
it.2013/14,2013/08/31,juventus,lazio,Spieltag 2,4,1,H
it.2013/14,2013/09/01,roma,hellasverona,Spieltag 2,4,1,H
it.2013/14,2013/09/01,atalanta,torino,Spieltag 2,2,0,H
it.2013/14,2013/09/01,bologna,sampdoria,Spieltag 2,2,2,D
it.2013/14,2013/09/01,catania,inter,Spieltag 2,0,3,A
it.2013/14,2013/09/01,genoa,fiorentina,Spieltag 2,2,5,A
it.2013/14,2013/09/01,milan,cagliari,Spieltag 2,3,1,H
it.2013/14,2013/09/01,sassuolo,livorno,Spieltag 2,1,4,A
it.2013/14,2013/09/01,udinese,parma,Spieltag 2,3,1,H
it.2013/14,2013/09/14,inter,juventus,Spieltag 3,1,1,D
it.2013/14,2013/09/14,napoli,atalanta,Spieltag 3,2,0,H
it.2013/14,2013/09/14,torino,milan,Spieltag 3,2,2,D
it.2013/14,2013/09/15,fiorentina,cagliari,Spieltag 3,1,1,D
it.2013/14,2013/09/15,hellasverona,sassuolo,Spieltag 3,2,0,H
it.2013/14,2013/09/15,lazio,chievoverona,Spieltag 3,3,0,H
it.2013/14,2013/09/15,livorno,catania,Spieltag 3,2,0,H
it.2013/14,2013/09/15,udinese,bologna,Spieltag 3,1,1,D
it.2013/14,2013/09/15,sampdoria,genoa,Spieltag 3,0,3,A
it.2013/14,2013/09/16,parma,roma,Spieltag 3,1,3,A
it.2013/14,2013/09/22,atalanta,fiorentina,Spieltag 4,0,2,A
it.2013/14,2013/09/22,bologna,torino,Spieltag 4,1,2,A
it.2013/14,2013/09/22,cagliari,sampdoria,Spieltag 4,2,2,D
it.2013/14,2013/09/22,catania,parma,Spieltag 4,0,0,D
it.2013/14,2013/09/22,chievoverona,udinese,Spieltag 4,2,1,H
it.2013/14,2013/09/22,genoa,livorno,Spieltag 4,0,0,D
it.2013/14,2013/09/22,juventus,hellasverona,Spieltag 4,2,1,H
it.2013/14,2013/09/22,milan,napoli,Spieltag 4,1,2,A
it.2013/14,2013/09/22,roma,lazio,Spieltag 4,2,0,H
it.2013/14,2013/09/22,sassuolo,inter,Spieltag 4,0,7,A
it.2013/14,2013/09/25,bologna,milan,Spieltag 5,3,3,D
it.2013/14,2013/09/25,chievoverona,juventus,Spieltag 5,1,2,A
it.2013/14,2013/09/25,inter,fiorentina,Spieltag 5,2,1,H
it.2013/14,2013/09/25,lazio,catania,Spieltag 5,3,1,H
it.2013/14,2013/09/25,livorno,cagliari,Spieltag 5,1,1,D
it.2013/14,2013/09/25,napoli,sassuolo,Spieltag 5,1,1,D
it.2013/14,2013/09/25,parma,atalanta,Spieltag 5,4,3,H
it.2013/14,2013/09/25,sampdoria,roma,Spieltag 5,0,2,A
it.2013/14,2013/09/25,torino,hellasverona,Spieltag 5,2,2,D
it.2013/14,2013/09/25,udinese,genoa,Spieltag 5,1,0,H
it.2013/14,2013/09/29,atalanta,udinese,Spieltag 6,2,0,H
it.2013/14,2013/09/29,cagliari,inter,Spieltag 6,1,1,D
it.2013/14,2013/09/29,catania,chievoverona,Spieltag 6,2,0,H
it.2013/14,2013/09/29,fiorentina,parma,Spieltag 6,2,2,D
it.2013/14,2013/09/29,genoa,napoli,Spieltag 6,0,2,A
it.2013/14,2013/09/29,hellasverona,livorno,Spieltag 6,2,1,H
it.2013/14,2013/09/29,milan,sampdoria,Spieltag 6,1,0,H
it.2013/14,2013/09/29,roma,bologna,Spieltag 6,5,0,H
it.2013/14,2013/09/29,sassuolo,lazio,Spieltag 6,2,2,D
it.2013/14,2013/09/29,torino,juventus,Spieltag 6,0,1,A
it.2013/14,2013/10/06,bologna,hellasverona,Spieltag 7,1,4,A
it.2013/14,2013/10/06,catania,genoa,Spieltag 7,1,1,D
it.2013/14,2013/10/06,chievoverona,atalanta,Spieltag 7,0,1,A
it.2013/14,2013/10/06,inter,roma,Spieltag 7,0,3,A
it.2013/14,2013/10/06,juventus,milan,Spieltag 7,3,2,H
it.2013/14,2013/10/06,lazio,fiorentina,Spieltag 7,0,0,D
it.2013/14,2013/10/06,napoli,livorno,Spieltag 7,4,0,H
it.2013/14,2013/10/06,parma,sassuolo,Spieltag 7,3,1,H
it.2013/14,2013/10/06,sampdoria,torino,Spieltag 7,2,2,D
it.2013/14,2013/10/06,udinese,cagliari,Spieltag 7,2,0,H
it.2013/14,2013/10/20,atalanta,lazio,Spieltag 8,2,1,H
it.2013/14,2013/10/20,cagliari,catania,Spieltag 8,2,1,H
it.2013/14,2013/10/20,fiorentina,juventus,Spieltag 8,4,2,H
it.2013/14,2013/10/20,genoa,chievoverona,Spieltag 8,2,1,H
it.2013/14,2013/10/20,hellasverona,parma,Spieltag 8,3,2,H
it.2013/14,2013/10/20,livorno,sampdoria,Spieltag 8,1,2,A
it.2013/14,2013/10/20,milan,udinese,Spieltag 8,1,0,H
it.2013/14,2013/10/20,roma,napoli,Spieltag 8,2,0,H
it.2013/14,2013/10/20,sassuolo,bologna,Spieltag 8,2,1,H
it.2013/14,2013/10/20,torino,inter,Spieltag 8,3,3,D
it.2013/14,2013/10/27,bologna,livorno,Spieltag 9,1,0,H
it.2013/14,2013/10/27,catania,sassuolo,Spieltag 9,0,0,D
it.2013/14,2013/10/27,chievoverona,fiorentina,Spieltag 9,1,2,A
it.2013/14,2013/10/27,inter,hellasverona,Spieltag 9,4,2,H
it.2013/14,2013/10/27,juventus,genoa,Spieltag 9,2,0,H
it.2013/14,2013/10/27,lazio,cagliari,Spieltag 9,2,0,H
it.2013/14,2013/10/27,napoli,torino,Spieltag 9,2,0,H
it.2013/14,2013/10/27,parma,milan,Spieltag 9,3,2,H
it.2013/14,2013/10/27,sampdoria,atalanta,Spieltag 9,1,0,H
it.2013/14,2013/10/27,udinese,roma,Spieltag 9,0,1,A
it.2013/14,2013/10/30,atalanta,inter,Spieltag 10,1,1,D
it.2013/14,2013/10/30,cagliari,bologna,Spieltag 10,0,3,A
it.2013/14,2013/10/30,fiorentina,napoli,Spieltag 10,1,2,A
it.2013/14,2013/10/30,genoa,parma,Spieltag 10,1,0,H
it.2013/14,2013/10/30,hellasverona,sampdoria,Spieltag 10,2,0,H
it.2013/14,2013/10/30,juventus,catania,Spieltag 10,4,0,H
it.2013/14,2013/10/30,livorno,torino,Spieltag 10,3,3,D
it.2013/14,2013/10/30,milan,lazio,Spieltag 10,1,1,D
it.2013/14,2013/10/30,roma,chievoverona,Spieltag 10,1,0,H
it.2013/14,2013/10/30,sassuolo,udinese,Spieltag 10,1,2,A
it.2013/14,2013/11/03,bologna,chievoverona,Spieltag 11,0,0,D
it.2013/14,2013/11/03,hellasverona,cagliari,Spieltag 11,2,1,H
it.2013/14,2013/11/03,lazio,genoa,Spieltag 11,0,2,A
it.2013/14,2013/11/03,livorno,atalanta,Spieltag 11,1,0,H
it.2013/14,2013/11/03,milan,fiorentina,Spieltag 11,0,2,A
it.2013/14,2013/11/03,napoli,catania,Spieltag 11,2,1,H
it.2013/14,2013/11/03,parma,juventus,Spieltag 11,0,1,A
it.2013/14,2013/11/03,sampdoria,sassuolo,Spieltag 11,3,4,A
it.2013/14,2013/11/03,torino,roma,Spieltag 11,1,1,D
it.2013/14,2013/11/03,udinese,inter,Spieltag 11,0,3,A
it.2013/14,2013/11/10,atalanta,bologna,Spieltag 12,2,1,H
it.2013/14,2013/11/10,cagliari,torino,Spieltag 12,2,1,H
it.2013/14,2013/11/10,catania,udinese,Spieltag 12,1,0,H
it.2013/14,2013/11/10,chievoverona,milan,Spieltag 12,0,0,D
it.2013/14,2013/11/10,fiorentina,sampdoria,Spieltag 12,2,1,H
it.2013/14,2013/11/10,genoa,hellasverona,Spieltag 12,2,0,H
it.2013/14,2013/11/10,inter,livorno,Spieltag 12,2,0,H
it.2013/14,2013/11/10,juventus,napoli,Spieltag 12,3,0,H
it.2013/14,2013/11/10,parma,lazio,Spieltag 12,1,1,D
it.2013/14,2013/11/10,roma,sassuolo,Spieltag 12,1,1,D
it.2013/14,2013/11/24,bologna,inter,Spieltag 13,1,1,D
it.2013/14,2013/11/24,hellasverona,chievoverona,Spieltag 13,0,1,A
it.2013/14,2013/11/24,livorno,juventus,Spieltag 13,0,2,A
it.2013/14,2013/11/24,milan,genoa,Spieltag 13,1,1,D
it.2013/14,2013/11/24,napoli,parma,Spieltag 13,0,1,A
it.2013/14,2013/11/24,roma,cagliari,Spieltag 13,0,0,D
it.2013/14,2013/11/24,sampdoria,lazio,Spieltag 13,1,1,D
it.2013/14,2013/11/24,sassuolo,atalanta,Spieltag 13,2,0,H
it.2013/14,2013/11/24,torino,catania,Spieltag 13,1,1,D
it.2013/14,2013/11/24,udinese,fiorentina,Spieltag 13,1,0,H
it.2013/14,2013/12/01,atalanta,roma,Spieltag 14,1,1,D
it.2013/14,2013/12/01,cagliari,sassuolo,Spieltag 14,2,2,D
it.2013/14,2013/12/01,catania,milan,Spieltag 14,1,3,A
it.2013/14,2013/12/01,chievoverona,livorno,Spieltag 14,3,0,H
it.2013/14,2013/12/01,fiorentina,hellasverona,Spieltag 14,4,3,H
it.2013/14,2013/12/01,genoa,torino,Spieltag 14,1,1,D
it.2013/14,2013/12/01,inter,sampdoria,Spieltag 14,1,1,D
it.2013/14,2013/12/01,juventus,udinese,Spieltag 14,1,0,H
it.2013/14,2013/12/01,parma,bologna,Spieltag 14,1,1,D
it.2013/14,2013/12/06,bologna,juventus,Spieltag 15,0,2,A
it.2013/14,2013/12/06,cagliari,genoa,Spieltag 15,2,1,H
it.2013/14,2013/12/06,hellasverona,atalanta,Spieltag 15,2,1,H
it.2013/14,2013/12/06,inter,parma,Spieltag 15,3,3,D
it.2013/14,2013/12/06,livorno,milan,Spieltag 15,2,2,D
it.2013/14,2013/12/06,napoli,udinese,Spieltag 15,3,3,D
it.2013/14,2013/12/06,roma,fiorentina,Spieltag 15,2,1,H
it.2013/14,2013/12/06,sampdoria,catania,Spieltag 15,2,0,H
it.2013/14,2013/12/06,sassuolo,chievoverona,Spieltag 15,0,1,A
it.2013/14,2013/12/06,torino,lazio,Spieltag 15,1,0,H
it.2013/14,2013/12/15,catania,hellasverona,Spieltag 16,0,0,D
it.2013/14,2013/12/15,chievoverona,sampdoria,Spieltag 16,0,1,A
it.2013/14,2013/12/15,fiorentina,bologna,Spieltag 16,3,0,H
it.2013/14,2013/12/15,genoa,atalanta,Spieltag 16,1,1,D
it.2013/14,2013/12/15,juventus,sassuolo,Spieltag 16,4,0,H
it.2013/14,2013/12/15,lazio,livorno,Spieltag 16,2,0,H
it.2013/14,2013/12/15,milan,roma,Spieltag 16,2,2,D
it.2013/14,2013/12/15,napoli,inter,Spieltag 16,4,2,H
it.2013/14,2013/12/15,parma,cagliari,Spieltag 16,0,0,D
it.2013/14,2013/12/15,udinese,torino,Spieltag 16,0,2,A
it.2013/14,2013/12/22,atalanta,juventus,Spieltag 17,1,4,A
it.2013/14,2013/12/22,bologna,genoa,Spieltag 17,1,0,H
it.2013/14,2013/12/22,cagliari,napoli,Spieltag 17,1,1,D
it.2013/14,2013/12/22,hellasverona,lazio,Spieltag 17,4,1,H
it.2013/14,2013/12/22,inter,milan,Spieltag 17,1,0,H
it.2013/14,2013/12/22,livorno,udinese,Spieltag 17,1,2,A
it.2013/14,2013/12/22,roma,catania,Spieltag 17,4,0,H
it.2013/14,2013/12/22,sampdoria,parma,Spieltag 17,1,1,D
it.2013/14,2013/12/22,sassuolo,fiorentina,Spieltag 17,0,1,A
it.2013/14,2013/12/22,torino,chievoverona,Spieltag 17,4,1,H
it.2013/14,2014/01/06,catania,bologna,Spieltag 18,2,0,H
it.2013/14,2014/01/06,chievoverona,cagliari,Spieltag 18,0,0,D
it.2013/14,2014/01/06,fiorentina,livorno,Spieltag 18,1,0,H
it.2013/14,2014/01/06,genoa,sassuolo,Spieltag 18,2,0,H
it.2013/14,2014/01/06,juventus,roma,Spieltag 18,3,0,H
it.2013/14,2014/01/06,lazio,inter,Spieltag 18,1,0,H
it.2013/14,2014/01/06,milan,atalanta,Spieltag 18,3,0,H
it.2013/14,2014/01/06,napoli,sampdoria,Spieltag 18,2,0,H
it.2013/14,2014/01/06,parma,torino,Spieltag 18,3,1,H
it.2013/14,2014/01/06,udinese,hellasverona,Spieltag 18,1,3,A
it.2013/14,2014/01/12,atalanta,catania,Spieltag 19,2,1,H
it.2013/14,2014/01/12,bologna,lazio,Spieltag 19,0,0,D
it.2013/14,2014/01/12,cagliari,juventus,Spieltag 19,1,4,A
it.2013/14,2014/01/12,hellasverona,napoli,Spieltag 19,0,3,A
it.2013/14,2014/01/12,inter,chievoverona,Spieltag 19,1,1,D
it.2013/14,2014/01/12,livorno,parma,Spieltag 19,0,3,A
it.2013/14,2014/01/12,roma,genoa,Spieltag 19,4,0,H
it.2013/14,2014/01/12,sampdoria,udinese,Spieltag 19,3,0,H
it.2013/14,2014/01/12,sassuolo,milan,Spieltag 19,4,3,H
it.2013/14,2014/01/12,torino,fiorentina,Spieltag 19,0,0,D
