team_key,team_description,team_organization,country,association_description,confederation_description
milan,Milan,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
inter,Inter,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
lazio,Lazio,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
roma,Roma,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
genoa,Genoa,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
sampdoria,Sampdoria,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
juventus,Juventus,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
torino,Torino,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
napoli,Napoli,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
atalanta,Atalanta,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
bologna,Bologna,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
cagliari,Cagliari,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
catania,Catania,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
chievoverona,Chievo,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
hellasverona,Verona,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
fiorentina,Fiorentina,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
parma,Parma,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
udinese,Udinese,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
sassuolo,Sassuolo,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
livorno,Livorno,CLUB,ITALY,FEDERAZIONE ITALIANA GIUOCO CALCIO,UEFA
